GeneID,GSM3024820,GSM3024822,GSM3024824,GSM3024826,GSM3024828,GSM3024830,GSM3024832,GSM3024834,GSM3024836,GSM3024838,GSM3024840,GSM3024842,GSM3024844,GSM3024846,GSM3024848,GSM3024850,GSM3024852,GSM3024854,GSM3024856,GSM3024858,GSM3024860,GSM3024863
10044,1.312,13.77,2.464,3.628,4.532,1.324,11.98,2.087,0.4138,2.468,1.716,0,1.611,1.417,2.146,0.4739,3.429,2.571,1.469,0.8973,2.466,3.287
107987132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100616250,0,0,0,0,0,0,0,0,0,0,0.8155,0,0,0,0,0,0,0,0,0,0,0
100422910,0,0,0,0,0,0,0,0,0,0,0.4123,0,0,0,0,0,0,0,0,0,0,0
1025,10.29,0.157,13.1,0,1.819,9.652,8.053,4.467,7.328,18.93,14.84,0,11.55,12,4.852,5.018,0.7718,0,0.1198,8.426,12.97,10.54
2356,29.61,4.96,9.382,0,6.531,12.35,6.217,13.51,3.955,12.51,14.45,0.4524,8.302,6.329,3.342,1.662,2.124,0,0,4.07,9.296,2.556
2022,3.291,8.922,24.69,0.03225,29.9,19.2,7.054,25.46,11.05,34,24.13,0.438,21.98,36.89,15.87,20.04,30.44,0.08752,10.85,13.67,22.82,20.65
102723566,0.3151,0.7019,6.772,0,1.343,10.75,1.633,5.189,4.313,10.45,6.826,0,7.982,11.56,11.19,4.513,21.28,0,0,4.303,8.318,10.37
105379841,0,1.071,0,0,0,1.118,0,5.558,0.59,0.2518,2.854,0,0.5815,0.7772,0,4.376,0,0,0,0.07285,0.572,0
203,4.896,14.08,5.301,0.08283,14.4,2.73,5.172,22.28,2.892,4.059,8.8,0,3.401,11.73,7.826,28.54,0.02199,3.584,1.004,2.595,3.96,2.606
100616429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30815,0.5556,2.502,3.751,4.959,2.256,1.954,0,6.954,1.096,3.458,2.02,12.65,3.004,3.704,0.362,2.004,4.575,0.1458,0.03616,2.804,2.811,1.863
27090,6.757,1.476,0.5621,0,0.3036,0.2243,0,1.333,0.4962,0.4754,1.193,0,0.7026,0.5771,0.515,4.082,1.846,5.272,0,0.3163,0.9621,0
138429,0.3033,0,0.04314,0,0.09511,0.2098,1.47,1.293,0.08327,0.0834,0.2638,0,0.1204,0.0858,0.4904,0.3463,0.7395,9.6,0.08459,0.03016,0.1399,0
8818,0.04928,0.58,1.29,1.072,0.1082,1.596,0.02933,0.6774,2.374,0.9249,2.232,0,1.437,1.696,2.028,0.4242,1.417,0,0,2.487,2.02,2.424
399665,0.3021,1.692,8.287,10.44,5.288,6.599,5.658,36.4,3.822,7.261,16.22,2.936,4.222,4.833,3.735,4.477,0.5284,0.006257,16.05,3.727,7.45,8.474
203245,1.014,0.04941,0.1319,0,1.929,0.1032,0,0.1508,0.06434,0.1952,0.2634,0.005512,0.1556,0.2103,0.51,0.475,2.221,0,0.03771,0.2453,0.3359,0.01418
114789,0.005946,4.406,7.159,0,3.55,8.335,1.472,0.3827,2.157,7.894,10.13,4.765,2.471,1.904,5.461,6.302,0.07477,0,0,2.417,2.322,2.453
100289019,0.02975,0.04059,0.01128,0.05751,0.04353,0.01324,0.05901,0,0.03557,0.05726,0.04829,0.00566,0.03305,0,0.04761,0.04877,0,0.007805,0.1162,0.003451,0.02463,0
80142,7.915,0.2392,6.303,0,5.951,3.309,9.087,4.897,2.611,6.621,11.87,1.307,2.372,2.268,6.167,10.65,0.6158,0,0.7909,2.044,7.223,7.069
389791,2.478,0,0.05146,4.634,1.032,0.1329,4.414,0,0.07417,0.06093,0.3524,6.247,0.3015,0.1522,1.241,2.135,0,0,0,0.07555,0.2157,0
3934,5.807,84.44,48.67,0,13.87,24.57,36.72,10.16,1.452,1.274,7.512,150.5,2.71,6.601,8.381,51.19,28.38,113.2,0,0.7761,2.262,0.8185
79095,3.113,5.443,0.4921,0,0,0.8663,0,0,0.687,1.04,1.221,0,0.2402,0.1713,0,0.2127,0,0,0,0.0903,0.4082,0.3809
25792,0.08056,14.7,13.95,2.19,12.51,13.81,7.731,4.857,7.05,17.2,17.47,51.54,12.38,15.02,13.53,15.03,5.5,0.007926,0.4719,11.64,20.9,11.04
1759,5.642,5.252,14.45,0.02736,6.772,12.83,9.297,4.81,7.596,14.27,19.1,9.758,8.061,14.55,12.23,10.9,0.5932,2.042,0.4421,3.29,9.849,8.2
406978,31.51,0,4.729,0,1.52,0,0,0,0,4,3.373,0,0.9621,1.543,0,0,0,0,0,0,1.893,0
100422893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2801,11.09,6.674,20.51,0.5246,17.18,15.67,17.83,13.98,14.52,31.62,33.65,1.374,16.62,19.38,30.27,54.16,40.62,2.267,10.15,15.54,25.86,14.27
375757,0,0,4.047,0,0.6132,4.979,0.2046,3.128,1.024,2.916,4.06,0,3.02,3.34,2.918,0.3699,2.432,0,0,5.018,5.135,5.899
26995,10.49,0.05319,2.817,0,2.824,2.516,7.608,0.3572,1.162,2.72,4.252,0.508,2.339,2.37,4.679,2.077,0.817,0.04602,0,2.871,3.56,5.027
105376286,89.86,0,10.98,0,2.979,7.315,0,0,6.26,10.26,7.931,0.05533,10.5,8.59,0.7314,18.36,0,0,0,14.64,11.94,15.8
51117,5.396,5.195,2.682,10.29,5.806,3.575,1.625,6.051,2.339,4.701,9.287,0.2679,5.522,4.921,2.326,6.242,2.721,0,0.1666,4.476,6.518,6.357
100189109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10999,14.71,6.522,2.602,75.67,20.47,2.897,5.108,7.905,1.645,4.221,2.978,3.973,2.959,2.794,21.83,2.631,19.64,0,0,5.365,5.766,2.434
81605,2.082,0.7691,0.2015,0,0.4551,0.4731,3.568,0.07556,0.332,0.661,1.228,0,0.8735,0.7356,1.985,0.2762,0.4811,0,0,1.224,1.056,0.4058
407003,0,0,0,0,0,0,0,0,0,2.079,9.181,0,0.8728,0.5833,0,0,0,0,0,0.4101,0.5854,2.306
100616335,0,0,0,0,0,0,0,0,0,2.292,10.12,0,0.9621,0.6429,0,0,0,0,0,0.452,0.6453,2.542
51148,5.45,0.2464,2.987,0,1.615,1.375,0.6924,4.918,1.83,3.427,5.348,3.355,1.895,3.814,2.798,1.299,1.982,3.516,0,2.15,1.794,0.9916
4957,8.049,17.55,12.54,0,11.7,13.61,3.154,15.08,6.927,22.5,25.55,10.12,9.155,10.49,9.313,3.585,2.128,21.18,5.456,7.452,25.86,21.72
2733,18.08,39.71,10.56,0.00937,17.87,15.47,27.95,2.641,11.24,14.74,12.25,0,15.6,14.13,23.74,7.08,4.319,7.882,57.23,15.03,23.71,15.51
101929270,0,0,0,0,2.273,0,83.03,0.03405,0,0.1049,0.2654,0,0.1514,0.1079,0,0,0,1.158,0,0.1707,0.1083,0
